Name,Position,Age,YOE,Prev Team,AAV,Type
Zach Pascal,WR,30.1,8.0,ARI,2250000,UFA
Jonathan Bullard,DE,31.2,9.0,MIN,2250000,UFA
Joshua Dobbs,QB,30.0,8.0,SF,2250000,UFA
Zay Jones,WR,29.8,9.0,ARI,2250000,UFA
Elijah Moore,WR,24.8,4.0,CLE,2235107,UFA
Javonte Williams,RB,24.8,4.0,DEN,2216438,UFA
Jevon Holland,FS,25.0,4.0,MIA,2179103,UFA
Braxton Berrios,WR,29.2,7.0,MIA,2150000,UFA
Amen Ogbongbemiga,LB,26.3,4.0,CHI,2100000,UFA
Corey Ballentine,CB,28.8,6.0,GB,2100000,UFA
Teven Jenkins,G,26.8,4.0,CHI,2096962,UFA
Kevin Givens,DT,27.8,5.0,SF,2067500,UFA
Richie Grant,S,27.2,4.0,ATL,2067091,UFA
Eddy Pineiro,K,29.3,6.0,CAR,2050000,UFA
Johnathan Hankins,DT,32.8,12.0,SEA,2050000,UFA
Levi Onwuzurike,DT,26.8,4.0,DET,2037223,UFA
Brandon Allen,QB,32.3,8.0,SF,2020000,UFA
Liam Eichenberg,G,27.0,4.0,MIA,2003620,UFA
Chuck Clark,S,29.8,8.0,NYJ,2000000,UFA
Robert Jones,G,26.0,4.0,MIA,2000000,UFA
Jamie Gillan,P,27.5,6.0,NYG,2000000,UFA
Travis Homer,RB,26.4,6.0,CHI,2000000,UFA
Nick Mullens,QB,29.8,6.0,MIN,2000000,UFA
JK Scott,P,28.2,6.0,LAC,2000000,UFA
Johnny Mundt,TE,30.2,7.0,MIN,2000000,UFA
Brandon Powell,WR,28.3,7.0,MIN,2000000,UFA
Jordan Poyer,FS,33.8,12.0,MIA,2000000,UFA
Nick Westbrook,WR,27.8,5.0,TEN,2000000,UFA
Olisaemeka Udoh,T,27.9,6.0,NO,2000000,UFA
Taven Bryan,DT,28.8,7.0,IND,2000000,UFA
Derek Barnett,DE,28.6,8.0,HOU,2000000,UFA
Alexander Mattison,RB,26.6,6.0,LV,2000000,UFA
Derrick Nnadi,DT,28.7,7.0,KC,2000000,UFA
Avonte Maddox,CB,28.8,7.0,PHI,2000000,UFA
Marcedes Lewis,TE,40.7,19.0,CHI,2000000,UFA
Calais Campbell,DE,38.3,17.0,MIA,2000000,UFA
Greg Van Roten,G,34.9,10.0,NYG,2000000,UFA
D.J. Humphries,LT,31.1,10.0,KC,2000000,UFA
Andrus Peat,T,31.2,10.0,LV,2000000,UFA
Nyheim Miller-Hines,RB,28.2,5.0,CLE,1995000,UFA
Trevon Moehrig,S,25.6,4.0,LV,1973752,UFA
Jordan Akins,TE,32.8,7.0,CLE,1950000,UFA
Siran Neal,S,30.4,7.0,MIA,1950000,UFA
Demetrius Flannigan-Fowles,LB,28.3,5.0,SF,1935000,UFA
Isaac Yiadom,CB,28.9,7.0,SF,1900000,UFA
David Quessenberry,RT,34.4,6.0,MIN,1885000,UFA
Isaiah Wynn,T,28.1,7.0,MIA,1885000,UFA
Ameer Abdullah,RB,31.6,10.0,LV,1850000,UFA
Jeremiah Ledbetter,DT,30.6,4.0,JAX,1850000,UFA
Asante Samuel Jr.,CB,25.2,4.0,LAC,1805737,UFA
Maurice Hurst,DT,29.7,7.0,CLE,1800000,UFA
Dan Feeney,C,30.7,8.0,MIN,1800000,UFA
Adam Butler,DT,30.8,7.0,LV,1800000,UFA
Michael Deiter,C,28.3,6.0,WAS,1800000,UFA
Trent Sherfield,WR,28.9,7.0,MIN,1790000,UFA
Poona Ford,DE,29.2,7.0,LAC,1790000,UFA
Jihad Ward,DE,30.7,9.0,MIN,1790000,UFA
Josh Jones,T,27.6,5.0,BAL,1790000,UFA
Troy Dye,LB,28.3,5.0,LAC,1790000,UFA
Benito Jones,DT,27.2,4.0,MIA,1790000,UFA
Aaron Banks,G,27.3,4.0,SF,1768400,UFA
Kentavius Street,DE,28.7,6.0,ATL,1765000,UFA
Eric Murray,FS,31.0,9.0,HOU,1750000,UFA
Trystan Colon-Castillo,C,26.8,6.0,ARI,1750000,UFA
Riley Dixon,P,31.4,9.0,DEN,1750000,UFA
Adoree' Jackson,CB,29.3,8.0,NYG,1750000,UFA
Rondale Moore,WR,24.6,4.0,ATL,1731060,UFA
Daniel Ekuale,DT,31.0,6.0,NE,1700000,UFA
Justin Watson,WR,29.8,7.0,KC,1700000,UFA
Kris Boyd,CB,28.3,6.0,HOU,1700000,UFA
