player_name,season,season_type,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,Name,Position,Age,YOE,Prev Team,AAV,Type
Braxton Berrios,2024,REG,0,4,0.0,0,0.0,0.0,26.0,0.0,0.0,-9.013496233848855,0,0.0,0.11484064709871161,0.11060327206629762,0.24968326109447575,0.0,0.0,3,28.0,6,69.0,190,Braxton Berrios,WR,29.3,7.0,MIA,2150000,UFA
Trent Sherfield,2024,REG,8,9,83.0,1,0.0,0.0,54.0,40.0,4.0,1.973562387865968,0,13.22202380952381,0.3215390489303533,0.23390750756821393,0.6460438286932797,14.3,22.3,8,28.0,6,73.0,219,Trent Sherfield,WR,28.9,7.0,MIN,1790000,UFA
Brandon Powell,2024,REG,7,10,71.0,0,0.0,0.0,102.0,12.0,5.0,5.094511381350458,0,7.210671936758893,0.3614041314041314,0.4361365802847068,0.8474018033054919,7.1000000000000005,14.1,7,28.0,6,68.0,189,Brandon Powell,WR,28.3,7.0,MIN,2000000,UFA
DJ Chark,2024,REG,4,10,31.0,1,0.0,0.0,115.0,7.0,1.0,-4.062413258827291,0,3.517857142857143,0.2826970443349754,0.3728299434942396,0.6850265269484308,9.1,13.1,4,27.0,6,75.0,198,DJ Chark,WR,28.3,7.0,LAC,3000000,UFA
Dante Pettis,2024,REG,12,28,120.0,1,0.0,0.0,282.0,36.0,8.0,-2.8346817793437045,1,3.356114799742986,0.9005799975504877,1.0691383884919377,2.099266868270088,20.0,32.0,8,28.0,6,73.0,195,Dante Pettis,WR,29.2,7.0,NO,1125000,UFA
Ashton Dulin,2024,REG,2,8,67.0,1,0.0,0.0,154.0,43.0,2.0,-6.190151987073477,0,3.383771929824561,0.3145551153870339,0.5144771629134367,0.8319666871199565,17.2,19.2,9,27.0,5,74.0,215,Ashton Dulin,WR,27.7,6.0,IND,3600000,UFA
Mecole Hardman,2024,REG,12,14,90.0,0,0.0,0.0,-14.0,99.0,6.0,4.308099643734749,0,18.142857142857142,0.4194212523719165,-0.09245264346108989,0.5644150281351118,21.200000000000003,33.2,7,26.0,5,70.0,187,Mecole Hardman,WR,26.8,6.0,KC,1125000,UFA
Olamide Zaccheaus,2024,REG,45,64,506.0,3,0.0,0.0,406.0,284.0,26.0,25.082292633426693,0,34.52643044255652,2.127366495488243,1.8169963418736859,4.462947182543945,69.4,114.4,15,27.0,5,68.0,193,Olamide Zaccheaus,WR,27.5,6.0,WAS,1275000,UFA
Diontae Johnson,2024,REG,33,67,375.0,3,0.0,0.0,731.0,91.0,21.0,-17.98220351655812,0,4.3853216474008025,2.087095520703942,3.6735934999520485,5.7021587310223465,56.1,89.10000000000001,11,28.0,5,70.0,181,Diontae Johnson,WR,28.6,6.0,BAL,18355000,UFA
Greg Dortch,2024,REG,37,50,342.0,3,1.0,1.0,207.0,294.0,16.0,7.380935106859431,0,22.931154935463137,1.6472427338890232,0.8356630409577743,3.0558282295039767,53.3,90.3,17,26.0,5,67.0,173,Greg Dortch,WR,26.7,6.0,ARI,1067500,UFA
Darius Slayton,2024,REG,39,71,573.0,2,0.0,0.0,928.0,124.0,30.0,15.463928752080252,0,10.318910476694938,2.161820685048478,4.077882390175853,6.097248700695814,71.0,110.0,16,27.0,5,73.0,190,Darius Slayton,WR,28.0,6.0,NYG,6000000,UFA
Marquise Brown,2024,REG,9,15,91.0,0,0.0,0.0,123.0,46.0,5.0,4.157604897452984,0,1.490138592750533,0.37933247753530164,0.5505285328246702,0.9543686892802217,9.100000000000001,18.1,2,27.0,5,69.0,170,Marquise Brown,WR,27.7,6.0,KC,7000000,UFA
Cody White,2024,REG,2,3,44.0,0,0.0,0.0,40.0,13.0,2.0,2.547461475885939,0,1.1,0.08823529411764706,0.11461318051575932,0.21258216753750211,4.4,6.4,1,25.0,4,75.0,210,Cody White,WR,26.2,2.0,SEA,915000,ERFA
Dan Chisena,2024,REG,3,4,37.0,0,0.0,0.0,30.0,9.0,2.0,2.039961123140529,0,3.552941176470588,0.1531781226903178,0.1513673988608124,0.3357243632380454,3.7,6.7,3,27.0,4,75.0,202,Dan Chisena,WR,27.9,3.0,CAR,1055000,RFA
James Proche,2024,REG,3,3,21.0,0,0.0,0.0,17.0,4.0,1.0,0.9430871069780551,0,1.0,0.08530405405405406,0.04940077043800828,0.16253662038768688,2.1,5.1,2,27.0,4,71.0,193,James Proche,WR,28.3,5.0,CLE,1125000,UFA
Collin Johnson,2024,REG,1,2,6.0,0,0.0,0.0,16.0,3.0,1.0,-0.3189183409558609,0,2.0,0.06869369369369369,0.06000423908435778,0.14504350789959097,0.6000000000000001,1.6,2,26.0,4,78.0,215,Collin Johnson,WR,27.3,4.0,CHI,1055000,UFA
K.J. Osborn,2024,REG,7,18,57.0,1,0.0,0.0,107.0,16.0,2.0,-7.306763498627287,0,2.8,0.6617472513743128,0.5808662523332024,1.399227253694711,11.7,18.7,6,27.0,4,72.0,200,K.J. Osborn,WR,27.7,5.0,WAS,4000000,UFA
Jalen Reagor,2024,REG,7,12,100.0,0,1.0,1.0,123.0,26.0,3.0,-7.275862330124428,0,4.974121180003532,0.40206922620715724,0.3870872104601271,0.8740648866328248,7.7,14.7,7,25.0,4,71.0,195,Jalen Reagor,WR,26.1,5.0,LAC,1125000,UFA
Tee Higgins,2024,REG,73,109,911.0,10,1.0,1.0,1067.0,228.0,48.0,57.34829599279861,0,10.711024695073494,3.1320638070461313,4.145518094027732,7.599958376388609,149.1,222.10000000000002,12,25.0,4,76.0,210,Tee Higgins,WR,26.0,5.0,CIN,21816000,UFA
Van Jefferson,2024,REG,24,40,276.0,2,0.0,0.0,465.0,78.0,12.0,2.06995269989443,0,9.721974689195777,1.530227996779721,2.1164214342399257,3.776836999137529,39.6,63.6,15,28.0,4,73.0,197,Van Jefferson,WR,28.5,5.0,PIT,1292500,UFA
Tyler Johnson,2024,REG,26,41,291.0,1,0.0,0.0,229.0,183.0,10.0,-2.6642196009207817,0,12.91580434163091,1.270780564963253,1.055343171475597,2.644911067477797,35.1,61.1,11,26.0,4,73.0,205,Tyler Johnson,WR,26.4,4.0,LAR,1130000,UFA
Tim Jones,2024,REG,3,5,41.0,0,0.0,0.0,40.0,17.0,3.0,1.9941945006139576,0,3.2549019607843137,0.18095238095238095,0.1913804756243241,0.4053949043655983,4.1,7.1,3,26.0,3,73.0,202,Tim Jones,WR,26.8,3.0,JAX,853333,RFA
Dyami Brown,2024,REG,30,40,308.0,1,1.0,1.0,293.0,218.0,13.0,1.8323590611617762,0,15.242029216244902,1.3476360139507473,1.2859953741213535,2.921650782811068,37.4,67.4,15,24.0,3,72.0,185,Dyami Brown,WR,25.2,4.0,WAS,1236000,UFA
Tylan Wallace,2024,REG,11,12,193.0,1,0.0,0.0,74.0,127.0,5.0,12.686041927838232,0,15.280555555555555,0.41705045708291183,0.26758139730095687,0.8128826637350376,25.3,36.300000000000004,8,25.0,3,71.0,190,Tylan Wallace,WR,25.7,4.0,BAL,1041341,UFA
Ihmir Smith-Marsette,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,6.0,1,25.0,3,73.0,179,Ihmir Smith-Marsette,WR,25.4,4.0,NYG,1055000,UFA
Simi Fehoko,2024,REG,6,16,106.0,0,0.0,0.0,236.0,16.0,6.0,2.68425364916416,0,1.6428793713774459,0.5542173621969887,0.9600171114338187,1.503338021299156,10.600000000000001,16.6,5,26.0,3,76.0,227,Simi Fehoko,WR,27.2,4.0,LAC,1055000,UFA
Ben Skowronek,2024,REG,5,5,69.0,0,0.0,0.0,40.0,29.0,4.0,6.3531590475467965,0,9.625313283208019,0.18356990231990233,0.21085764265762083,0.42295520334018805,6.9,11.9,4,27.0,3,75.0,220,Ben Skowronek,WR,27.6,4.0,PIT,1055000,UFA
Jaelon Darden,2024,REG,1,1,6.0,0,0.0,0.0,-3.0,9.0,1.0,0.7367906065192074,0,0.0,0.043478260869565216,-0.023076923076923078,0.04906354515050167,0.6000000000000001,1.6,1,25.0,3,68.0,174,Jaelon Darden,WR,26.0,3.0,SEA,985000,RFA
