player_name,season,season_type,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,Position,Age,YOE,Prev Team,AAV,Type,ngs_efficiency,ngs_percent_attempts_gte_eight_defenders,ngs_avg_time_to_los,ngs_avg_rush_yards,ngs_expected_rush_yards,ngs_rush_yards_over_expected,ngs_rush_yards_over_expected_per_att,ngs_rush_pct_over_expected,headshot_url
Julius Chestnut,2024,REG,22,102.0,0,0.0,0.0,2.0,-3.3765913208696534,0,2,3,11.0,0,0.0,0.0,1.0,14.0,0.0,-4.590231376874726,0,-3.0,0.09964912280701754,0.0014574547258744738,11.3,13.3,7,23.0,2,71.0,215,RB,24.2,3,TEN,985000,RFA,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dmy7xkb6lv63qou6qag7"
Ronnie Rivers,2024,REG,22,99.0,0,0.0,0.0,6.0,2.949052918207599,0,5,6,34.0,0,0.0,0.0,-26.0,58.0,1.0,-0.5107793381321244,0,-1.7894736842105263,0.16203703703703703,-0.138552520416784,13.3,18.3,5,25.0,2,69.0,190,RB,26.0,3,LAR,985000,RFA,3.4203205128205125,0.0,2.467458333333333,4.0,53.20347267883167,-3.2034726788316767,-0.23450565631125223,0.40064102564102566,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xjumjdizgaw4gicg6gbb"
Samaje Perine,2024,REG,20,92.0,1,0.0,0.0,7.0,-0.6897319894387277,0,28,35,322.0,1,0.0,0.0,11.0,313.0,16.0,14.760987969615641,0,40.22799422799423,1.0269846725949752,0.059622480461481726,53.4,81.4,17,28.0,7,70.0,240,RB,29.4,8,KC,1500000,UFA,4.030493590145833,24.334298312626487,2.585565168539326,3.8335062254566896,151.89210952731105,-5.892109527311058,-0.2635622473343731,0.43457731254977816,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/liorwdmj8gelxh5u7rc4"
Raheem Blackshear,2024,REG,15,80.0,0,0.0,0.0,2.0,-0.6617602342739701,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8.0,8.0,3,26.0,2,69.0,194,RB,26.7,3,CAR,985000,RFA,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sv6aefajv1duatig0buu"
JaMycal Hasty,2024,REG,20,69.0,0,0.0,0.0,4.0,-1.0126937043138207,0,10,12,59.0,1,0.0,0.0,-2.0,72.0,2.0,0.5848384630517103,0,-28.25,0.35782835848579186,0.008554364080617924,18.8,28.8,9,27.0,4,68.0,205,RB,28.4,5,NE,1450000,UFA,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/stvclosmy6zi864kfxw7"
Jeff Wilson,2024,REG,16,57.0,0,0.0,0.0,3.0,-4.626434945375593,0,3,3,19.0,0,0.0,0.0,0.0,19.0,0.0,0.5416194528806955,0,-5.0,0.07627627627627628,0.0003787786222233082,7.6000000000000005,10.600000000000001,7,28.0,6,72.0,194,RB,29.2,7,MIA,3000000,UFA,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zorqrtlrizlltgd6pnob"
Mike Boone,2024,REG,13,51.0,0,0.0,0.0,3.0,-0.974716876691673,0,1,3,-2.0,0,0.0,0.0,-14.0,2.0,0.0,-3.89994317345554,0,0.5,0.11948051948051948,-0.04579796264855687,4.9,5.9,5,29.0,6,70.0,205,RB,29.6,7,CAR,1125000,UFA,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yeoyrlaf9hlvowj6fdio"
Travis Homer,2024,REG,6,23.0,0,0.0,0.0,2.0,0.10105366277275607,0,3,3,11.0,0,0.0,0.0,1.0,10.0,0.0,-0.8533709939802065,0,11.0,0.125,0.007142857142857143,3.4000000000000004,6.3999999999999995,4,26.0,5,70.0,202,RB,26.5,6,CHI,2000000,UFA,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eg1e7va024emnbm55got"
Michael Burton,2024,REG,7,8.0,1,0.0,0.0,3.0,-1.0444718406361062,0,10,10,65.0,1,0.0,0.0,24.0,41.0,3.0,4.411656428244896,0,10.980392156862745,0.29270398461187935,0.08874076787421555,19.3,29.3,11,32.0,9,71.0,240,FB,33.0,10,DEN,1210000,UFA,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/edfaq7s9wuzedbfcarrp"
Reggie Gilliam,2024,REG,3,7.0,0,0.0,0.0,1.0,-0.42451751659973525,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.7000000000000001,0.7000000000000001,2,27.0,4,72.0,255,FB,27.4,5,BUF,2300000,UFA,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qj2xzath8p7188isoxkd"
Darrynton Evans,2024,REG,3,3.0,0,0.0,0.0,0.0,-1.2948128271382302,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.30000000000000004,0.30000000000000004,1,26.0,4,70.0,200,RB,26.6,5,CHI,1055000,UFA,5.8325,42.85714285714285,3.100230769230769,3.4285714285714284,47.757834104552266,-1.7578341045522663,-0.135218008042482,0.3846153846153846,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/akmrd72vwsbpsnuh9775"
Kene Nwangwu,2024,REG,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,6.0,1,26.0,3,73.0,205,RB,27.0,4,NYJ,1055000,UFA,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eti2uf3a3u1igqoornct"
Patrick Ricard,2024,REG,0,0.0,0,0.0,0.0,0.0,0.0,0,3,5,22.0,1,0.0,0.0,6.0,18.0,1.0,1.9607679708860815,0,19.5,0.19810008893200742,0.03825482336638234,8.2,11.2,5,30.0,7,75.0,311,FB,30.7,8,BAL,3750000,UFA,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dwnktpq9tu98n7ozspri"
Adam Prentice,2024,REG,0,0.0,0,0.0,0.0,0.0,0.0,0,0,4,0.0,0,0.0,0.0,4.0,0.0,0.0,-2.7622170679544658,0,0.0,0.15810850656051895,0.024240896387219622,0.0,0.0,4,27.0,3,72.0,245,FB,28.1,4,NO,1130000,UFA,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yiwqv2dccizjdkw1dmye"
