player_name,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,ngs_avg_time_to_throw,ngs_avg_completed_air_yards,ngs_avg_intended_air_yards,ngs_avg_air_yards_differential,ngs_aggressiveness,ngs_avg_air_yards_to_sticks,ngs_passer_rating,ngs_completion_percentage,ngs_expected_completion_percentage,ngs_completion_percentage_above_expectation,headshot_url
Dorian Thompson-Robinson,00-0038583,2024,REG,61,118,440.0,0,6.0,8.0,47.0,2,1,710.0,251.0,20.0,-71.14114697335754,0,2.7665676442281715,-0.1086996142317975,21,122.0,0,1.0,0.0,9.0,5.991397552657872,0,15.8,15.8,6,24.0,1.0,74.0,205.0,2.7603582085472538,3.6130677071466537,5.865796545821422,-2.252728838674769,10.197789021747498,-3.471312331331647,44.96136274734698,52.098047644574585,63.606211642888105,-11.508163998313526,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ujuyt3hpswlin3aahmhu"
Drake Maye,00-0039851,2024,REG,225,338,2276.0,15,10.0,34.0,229.0,5,4,2473.0,1192.0,112.0,-27.612309328381347,2,10.781350091050735,0.919672378385682,54,421.0,2,4.0,2.0,22.0,20.10827512247488,0,177.14,177.14,13,22.0,0.0,76.0,225.0,2.7382640949554897,4.619644444444445,7.328571428571429,-2.7089269841269843,15.384615384615383,-1.612422360248447,88.0793885601578,66.5680473372781,64.5362030670664,2.0318442702117068,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iy96wbyjth5ehizc0xq5"
Drew Lock,00-0035704,2024,REG,107,181,1071.0,6,5.0,12.0,88.0,4,2,1107.0,611.0,45.0,-42.722446811100696,1,5.72441772228719,0.3260651924544138,18,133.0,2,1.0,0.0,9.0,12.075437067076564,0,80.14,80.14,7,27.0,5.0,76.0,228.0,2.843622222222223,4.194485981308411,7.0648275862068965,-2.8703416048984858,17.12707182320442,-2.320229885057472,75.54097605893188,59.11602209944752,62.99905347231344,-3.883031372865915,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tlkgzjnuugarxjeoj9vk"
Easton Stick,00-0035282,2023,REG,111,174,1129.0,3,1.0,14.0,122.0,5,4,1204.0,581.0,53.0,-34.01198611579233,0,5.034459807814067,0.0802348585482139,27,144.0,1,0.0,0.0,11.0,8.037567018560367,0,67.56,67.56,5,28.0,5.0,73.0,224.0,2.8234161849710984,4.689099099099099,7.042899408284022,-2.3538003091849227,16.091954022988507,-1.868343195266272,85.63218390804597,63.793103448275865,65.67869926963387,-1.8855958213580024,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ybdbylsv4ikjnmwornzo"
Gardner Minshew,00-0035289,2024,REG,203,306,2013.0,9,10.0,29.0,164.0,4,3,1847.0,1099.0,106.0,-47.06377278283449,1,11.152047865084327,0.5439865140461396,19,58.0,0,2.0,1.0,5.0,-7.564716533728642,0,96.32000000000001,96.32000000000001,10,28.0,5.0,73.0,225.0,2.7061122112211216,4.372364532019704,6.0305338078291815,-1.6581692758094777,17.320261437908496,-2.734590747330961,80.9640522875817,66.33986928104575,65.09322544401573,1.246643837030021,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zn2kvriijuixffqfx7ob"
Geno Smith,00-0030565,2024,REG,407,578,4320.0,21,15.0,50.0,338.0,4,0,3996.0,2181.0,209.0,24.594096387796093,0,21.209822271889777,1.9445400955113343,53,272.0,2,4.0,0.0,17.0,1.241315049061086,0,266.0,266.0,17,33.0,11.0,75.0,221.0,2.8323038194444448,5.143783783783784,7.172274368231046,-2.0284905844472627,12.45674740484429,-2.2176173285198555,93.20213379469436,70.41522491349481,67.15861683982105,3.2566080736737604,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/izkm5yyxybb5uy5dkcgf"
Hendon Hooker,00-0038550,2024,REG,6,9,62.0,0,0.0,1.0,9.0,0,0,58.0,30.0,3.0,-2.076887565394496,0,3.421212121212121,0.0,5,2.0,0,0.0,0.0,1.0,-2.9957676058402285,0,2.68,2.68,3,26.0,1.0,75.0,218.0,,,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ym5l2he8pycechphzse6"
Jacoby Brissett,00-0033119,2024,REG,95,161,826.0,2,1.0,18.0,119.0,3,1,1093.0,437.0,41.0,-38.16767835544852,1,4.715298146932257,0.20683477984890117,15,62.0,0,1.0,0.0,5.0,3.1165734097594395,0,45.24,45.24,7,31.0,8.0,76.0,235.0,2.8744250000000005,4.091263157894737,7.110794701986755,-3.0195315440920183,18.012422360248447,-1.928940397350993,74.18478260869564,59.00621118012423,59.77254987040662,-0.7663386902823959,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dps7iuuc2zwl68yppqux"
Jake Browning,00-0035100,2023,REG,171,243,1936.0,12,7.0,24.0,169.0,3,0,1554.0,1109.0,93.0,22.299077136490972,1,11.328920130916005,1.0004042406985736,27,127.0,3,0.0,0.0,12.0,9.535520887743427,0,143.44,144.44,9,28.0,5.0,74.0,209.0,2.72861316872428,4.683040935672515,6.3211489361702125,-1.6381080004976978,16.46090534979424,-2.478851063829787,98.37962962962963,70.37037037037037,67.08378143026015,3.286588940110221,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kuxgw7azlwgyv2ptawvf"
Jake Haener,00-0038998,2024,REG,18,39,226.0,1,1.0,6.0,55.0,0,0,345.0,97.0,10.0,-14.948479153761138,0,3.0595710106114025,-0.23154658897968805,11,22.0,0,0.0,0.0,0.0,-1.5562912306049839,0,13.24,13.24,8,25.0,1.0,73.0,195.0,2.5532352941176466,9.42888888888889,9.877058823529412,-0.4481699346405232,11.76470588235294,1.347647058823531,76.1029411764706,52.94117647058824,56.19236260433408,-3.25118613374584,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wugesxgiiuzs6fdymp57"
Jalen Hurts,00-0036389,2024,REG,248,361,2903.0,18,5.0,38.0,271.0,5,3,2814.0,1375.0,139.0,41.36266696927139,0,15.019307410783203,2.1815953093021516,150,630.0,14,4.0,2.0,62.0,42.63827943167077,0,315.12,315.12,15,26.0,4.0,73.0,218.0,3.1313,6.202016129032258,7.991676646706588,-1.7896605176743297,16.343490304709142,-0.8825748502994011,103.68767313019391,68.69806094182826,62.08825992766014,6.60980101416812,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k2p5yb4qmqwoo3qcapgt"
Jameis Winston,00-0031503,2024,REG,181,296,2121.0,13,12.0,24.0,130.0,5,2,2640.0,765.0,103.0,-26.844956939174565,4,6.205245238957251,0.6874011571163273,25,83.0,1,0.0,0.0,17.0,16.702675447857473,0,131.14,131.14,11,30.0,9.0,76.0,231.0,2.78802372881356,7.395027624309392,9.240833333333336,-1.845805709023942,17.56756756756757,0.5047222222222223,80.6447072072072,61.14864864864865,62.39709793212446,-1.2484492834758072,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/chdeosreuupotgq0eqlm"
Jared Goff,00-0033106,2024,REG,390,539,4629.0,37,12.0,31.0,234.0,6,0,3406.0,2635.0,236.0,167.50168968876793,1,26.3140734144755,3.373677148639063,35,56.0,0,0.0,0.0,9.0,-3.12486233766038,0,323.46000000000004,324.46000000000004,17,29.0,8.0,76.0,223.0,2.7872947761194027,5.115358974358975,6.8317416829745605,-1.7163827086155852,11.50278293135436,-1.569432485322896,111.76948051948052,72.35621521335807,68.03872488121155,4.31749033214652,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jxyaiwwkabzmmphouxil"
Jaren Hall,00-0038598,2023,REG,13,20,168.0,0,1.0,4.0,28.0,2,2,156.0,99.0,7.0,-12.676042797437358,0,4.925432669253237,0.26149238543134823,6,14.0,0,0.0,0.0,0.0,-1.9660199251832182,0,2.120000000000001,2.120000000000001,3,26.0,1.0,72.0,205.0,,,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ki7jq97gzu1dv16hi4jq"
Jarrett Stidham,00-0035264,2022,REG,53,83,656.0,4,3.0,7.0,47.0,2,1,763.0,261.0,32.0,-5.130124091908549,0,2.410658245881574,0.21936529900438267,14,84.0,0,1.0,0.0,7.0,4.824725395592395,0,42.64,42.64,3,28.0,5.0,75.0,214.0,2.9522241625816994,5.721993083003953,8.801237132352943,-3.07924404934899,18.290441176470587,-0.3623658088235299,89.96629901960785,62.52042483660131,61.52661976136657,0.9938050752347429,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ydf4deab7bxkpjztpze5"
Jayden Daniels,00-0039910,2024,REG,331,480,3568.0,25,9.0,47.0,238.0,2,0,3548.0,1780.0,170.0,59.695651133760485,2,17.574003979543413,2.308123987385395,148,891.0,6,3.0,0.0,55.0,57.46547189990886,1,355.82,355.82,17,23.0,0.0,76.0,210.0,2.6846715481171546,5.434954682779457,7.6367099567099554,-2.201755273930498,14.374999999999998,-1.3438095238095236,100.06944444444446,68.95833333333333,67.91162474507776,1.0467085882555691,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mh9rkwpmq1rgfarg9rpm"
Jeff Driskel,00-0032436,2023,REG,13,26,166.0,2,2.0,3.0,26.0,0,0,232.0,74.0,8.0,-10.957208045409061,0,0.7155172413793104,-0.030105234232513878,7,33.0,0,0.0,0.0,4.0,0.4751124630565755,0,13.940000000000001,13.940000000000001,1,31.0,8.0,76.0,235.0,2.7014230769230774,8.575384615384616,9.8808,-1.305415384615383,34.61538461538461,1.0807999999999998,63.9423076923077,50.0,56.46135016129568,-6.461350161295677,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qvyjv4da7ya6erhqx67m"
Jimmy Garoppolo,00-0031345,2023,REG,110,169,1205.0,7,9.0,14.0,101.0,0,0,1364.0,468.0,60.0,-19.161635413862108,1,5.848699342114885,0.4281019083343922,20,39.0,0,1.0,0.0,6.0,-2.7111202365194913,0,64.1,64.1,7,32.0,10.0,74.0,225.0,2.937744047619048,6.565636363636364,8.061393939393941,-1.495757575757577,15.976331360946746,-0.9143636363636358,77.65039447731755,65.08875739644971,65.99653875069505,-0.907781354245344,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lbyjizqecoq4onrgectw"
Joe Burrow,00-0036442,2024,REG,460,652,4918.0,43,9.0,48.0,278.0,9,5,4614.0,2192.0,253.0,117.02095542445556,0,18.955063153779086,2.784136555093941,42,201.0,2,2.0,0.0,16.0,16.052818928466877,0,372.82,372.82,17,27.0,4.0,76.0,216.0,2.7109508448540702,5.929173913043477,7.434674085850556,-1.5055001728070794,15.797546012269938,-0.687742448330684,108.53783231083848,70.5521472392638,65.62670749695,4.925439742313799,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jzzqz5ubkilrn9dpxtlp"
Joe Flacco,00-0026158,2024,REG,162,248,1761.0,12,7.0,18.0,123.0,3,3,2215.0,651.0,87.0,2.9993858721668687,0,5.588957026193659,0.7075546323521819,9,26.0,0,1.0,1.0,2.0,-7.002136736351531,0,99.04,99.04,7,39.0,16.0,78.0,245.0,2.6931411290322584,6.704814814814816,8.738264462809918,-2.033449647995102,15.725806451612904,-0.2617355371900826,90.47379032258064,65.32258064516128,63.9281839222437,1.394396722917584,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxvyoeojkif7tnfviamc"
Joe Milton III,00-0039398,2024,REG,22,29,241.0,1,0.0,0.0,0.0,0,0,280.0,72.0,14.0,11.790716131760057,0,0.8607142857142858,0.2361256384659101,10,16.0,1,1.0,1.0,4.0,-3.962806242663646,0,19.240000000000002,19.240000000000002,1,24.0,0.0,77.0,235.0,3.63148275862069,7.845909090909092,10.518888888888888,-2.6729797979797967,24.13793103448276,1.1855555555555553,111.42241379310344,75.86206896551724,53.367434133743416,22.494634831773823,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/x1c3tu0bkgqokripa885"
