player_name,player_id,season,season_type,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,ngs_avg_cushion,ngs_avg_separation,ngs_avg_intended_air_yards,ngs_percent_share_of_intended_air_yards,ngs_catch_percentage,ngs_avg_yac,ngs_avg_expected_yac,ngs_avg_yac_above_expectation,headshot_url,player_name_clean,Name,Position,Age,YOE,Prev Team,AAV,Type,MV_Link,market_value,Name_clean
Nsimba Webster,00-0035621,2022,REG,2,3,14.0,0,1.0,0.0,22.0,4.0,1.0,0.3813299947651103,0,0.6363636363636364,0.14285714285714285,0.13924050632911392,0.311754068716094,1.4000000000000001,3.4000000000000004,1,28.0,5.0,70.0,180.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ufvxs5eu8ltqoeaogyoo",nsimbawebster,Nsimba Webster,WR,29.1,4.0,CHI,1055000.0,UFA,,1055000.0,nsimbawebster
Gunner Olszewski,00-0035645,2022,REG,5,7,53.0,0,0.0,0.0,57.0,13.0,1.0,0.9955764255428221,0,2.4166666666666665,0.022954408353389678,0.1625558563875053,0.45810522477209886,9.200000000000001,14.200000000000001,10,27.0,5.0,72.0,190.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fpimudxhuze3pd02bstw",gunnerolszewski,Gunner Olszewski,WR,28.2,6.0,NYG,1292500.0,UFA,,1292500.0,gunnerolszewski
James Proche,00-0036133,2022,REG,8,17,62.0,0,0.0,0.0,155.0,16.0,3.0,-9.627682750840904,0,4.957792207792208,0.07764898888848469,0.6596888069566116,1.2770965481987173,4.200000000000001,12.200000000000001,7,27.0,4.0,71.0,193.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/me4h87meacls1jjh0cug",jamesproche,James Proche,WR,28.5,5.0,CLE,1125000.0,UFA,,1125000.0,jamesproche
Collin Johnson,00-0036254,2024,REG,1,2,6.0,0,0.0,0.0,16.0,3.0,1.0,-0.3189183409558609,0,2.0,0.03434684684684684,0.06000423908435778,0.14504350789959097,0.6000000000000001,1.6,2,26.0,4.0,78.0,215.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ijr7bal4mbsaum2lp9dq",collinjohnson,Collin Johnson,WR,27.4,5.0,CHI,1055000.0,UFA,,1055000.0,collinjohnson
Jaelon Darden,00-0036877,2022,REG,2,2,26.0,0,0.0,0.0,10.0,16.0,1.0,0.8616639436222613,0,1.6666666666666667,0.015277777777777779,0.05157460680444223,0.10485222476310957,2.8000000000000003,4.800000000000001,3,25.0,3.0,68.0,174.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/po3sqw0b1qwonkg80lrf",jaelondarden,Jaelon Darden,WR,26.2,3.0,SEA,985000.0,UFA,,985000.0,jaelondarden
Elijah Moore,00-0036980,2024,REG,61,102,538.0,1,0.0,0.0,950.0,133.0,25.0,-36.91097573652386,0,11.782137261766678,0.154815503902971,2.9341573018977023,6.0017054608541525,59.900000000000006,120.9,17,24.0,3.0,70.0,184.0,6.143118279569892,3.0934416688418414,9.086470588235295,18.81333225073076,59.80392156862745,2.525409836065575,2.8096889002176395,-0.2842790641520647,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bhwvzckfhhcqhb7zdqyj",elijahmoore,Elijah Moore,WR,24.8,4.0,CLE,2235107.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/72414,4543519.0,elijahmoore
Anthony Schwartz,00-0036999,2022,REG,4,10,51.0,0,1.0,1.0,142.0,27.0,2.0,-7.990639030584134,0,6.6648148148148145,0.05032193432928727,0.40632490473561544,0.7373248422785162,14.8,18.8,6,23.0,3.0,72.0,179.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wqrxhwwlgpjkb6w8edgo",anthonyschwartz,Anthony Schwartz,WR,24.5,3.0,MIA,985000.0,UFA,,985000.0,anthonyschwartz
Britain Covey,00-0037132,2024,REG,7,8,34.0,0,0.0,0.0,9.0,28.0,2.0,-0.0438859926071018,0,2.090909090909091,0.09783261963789347,0.06427044477891936,0.4852360997157642,3.4000000000000004,10.4,3,27.0,2.0,68.0,170.0,6.107833333333334,3.725380106014534,5.729666666666666,10.062008767585962,80.0,3.6833333333333336,3.3134538014274293,0.36987953190590495,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zxyoxfakwak4h9eiv5mu",britaincovey,Britain Covey,WR,28.0,3.0,PHI,985000.0,UFA,,985000.0,britaincovey
Deven Thompkins,00-0037487,2023,REG,17,25,83.0,1,1.0,1.0,163.0,74.0,5.0,-8.702345053430081,0,3.7579258782266303,0.06587372220857107,0.5687774825363905,1.5838712375297526,17.900000000000002,34.9,12,24.0,2.0,68.0,155.0,4.739999999999999,2.530899752796104,7.702222222222223,37.18285683634608,44.44444444444444,7.272499999999998,5.337833843920407,1.934666156079591,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gt0yeyl9y8s6onw8wcdr",deventhompkins,Deven Thompkins,WR,25.2,3.0,CAR,985000.0,UFA,,985000.0,deventhompkins
Grant DuBose,00-0038507,2024,REG,2,4,11.0,0,0.0,0.0,47.0,3.0,1.0,-4.104269569506869,0,0.25,0.05336105336105336,0.1440955428231267,0.26095004005934874,1.1,3.0999999999999996,2,23.0,1.0,74.0,200.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ytrkyhuvudbeuc90zuok",grantdubose,Grant DuBose,WR,23.8,1.0,MIA,795000.0,UFA,,795000.0,grantdubose
