player_name,player_id,season,season_type,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,ngs_efficiency,ngs_percent_attempts_gte_eight_defenders,ngs_avg_time_to_los,ngs_avg_rush_yards,ngs_expected_rush_yards,ngs_rush_yards_over_expected,ngs_rush_yards_over_expected_per_att,ngs_rush_pct_over_expected,headshot_url
Hassan Haskins,00-0037617,2024,REG,34,89.0,2,1.0,1.0,13.0,-3.679708030249458,0,3,3,49.0,1,0.0,0.0,7.0,42.0,2.0,5.056516458338592,0,15.5,0.008333333333333333,0.027065527065527065,29.8,32.8,11,24.0,2.0,74.0,220.0,4.795178030303031,33.33333333333333,2.6365000000000003,3.0416666666666665,44.049580890397664,-13.54958089039766,-1.1971851315243567,0.2651515151515151,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kfqhhr4xcm2iaocbvdyp"
Hunter Luepke,00-0038738,2024,REG,12,38.0,0,0.0,0.0,6.0,0.9359209736109828,0,12,16,111.0,0,0.0,0.0,39.0,84.0,5.0,4.598201807206468,0,1.225108225108225,0.03542890452984689,0.1598974888501775,14.9,26.900000000000002,13,24.0,1.0,73.0,236.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kutswlnzg4fefe7lpbd2"
Isaac Guerendo,00-0039363,2024,REG,84,420.0,4,0.0,0.0,18.0,4.852067155530676,0,15,16,152.0,0,1.0,0.0,50.0,107.0,7.0,6.534524605667684,0,6.956410256410257,0.04370369538666138,0.14608648777974498,81.2,96.2,13,24.0,0.0,72.0,225.0,3.5131277889637023,38.88392857142857,2.79115625,6.183482142857143,57.00902031468807,21.990979685311927,2.21225546440553,0.3876488095238095,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vi0oa4oajc6ecgzr8l08"
Isaiah Davis,00-0039798,2024,REG,30,174.0,1,0.0,0.0,10.0,4.41404169931775,0,9,12,75.0,1,0.0,0.0,16.0,75.0,4.0,5.281452965042693,0,2.460606060606061,0.036785433644516835,0.04686334983299185,36.9,45.9,9,22.0,0.0,73.0,220.0,4.17225,30.0,2.710555555555556,4.0,35.34962375352675,4.65037624647325,0.465037624647325,0.4,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yx5kxu7fsb1oe4jlqvyh"
Isaiah Spiller,00-0038045,2023,REG,37,96.0,0,0.0,0.0,1.0,-14.360955198761076,0,6,6,34.0,0,0.0,0.0,-5.0,39.0,1.0,0.5254501588632001,0,-13.0,0.021661464095674623,-0.017380342595583857,13.0,19.0,9,23.0,2.0,73.0,215.0,4.8434,0.0,3.1486000000000005,3.125,65.91963626546367,-15.919636265463666,-0.9949772665914792,0.3125,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/msdwytjm5qjxe336lmnv"
Isiah Pacheco,00-0037197,2024,REG,83,310.0,1,0.0,0.0,14.0,-13.669875385501655,0,12,16,79.0,0,0.0,0.0,-22.0,119.0,4.0,-1.8505314201552152,0,19.28333333333333,0.07670457515297611,-0.2331936918338545,44.900000000000006,56.900000000000006,7,25.0,2.0,70.0,215.0,3.5736470588235294,12.195121951219512,2.762369791666666,4.560975609756097,828.4860755008264,90.51392449917364,0.4525696224958682,0.4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rzr8nxjunjeiv8bjir59"
Israel Abanikanda,00-0038389,2023,REG,22,70.0,0,0.0,0.0,3.0,-2.945533414859291,0,7,11,43.0,0,0.0,0.0,6.0,46.0,2.0,-1.2154877553111874,0,-4.756410256410256,0.04852092352092352,0.04576986511016292,11.3,18.3,6,21.0,1.0,70.0,215.0,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ythhca1bq2bjbhgfyf9o"
J.J. Taylor,00-0036096,2022,REG,10,9.0,0,0.0,0.0,0.0,-5.491076122416416,0,1,1,8.0,0,0.0,0.0,3.0,5.0,0.0,0.8876697216182947,0,2.6666666666666665,0.034482758620689655,0.017543859649122806,1.7000000000000002,2.7,1,26.0,4.0,66.0,185.0,12.815555555555555,30.0,2.7791428571428574,0.9,27.56519599306313,-18.56519599306313,-1.8565195993063133,0.1,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m8en6noemyviirgtxlgd"
J.K. Dobbins,00-0036158,2024,REG,195,905.0,9,0.0,0.0,47.0,4.240172508865963,0,32,38,153.0,0,0.0,0.0,-44.0,204.0,7.0,-13.866991405793035,0,-0.7087912087912098,0.10623853506771098,-0.2671662029313455,159.8,191.8,13,25.0,4.0,70.0,214.0,3.616994475138122,21.025641025641026,2.791079096045197,4.641025641025641,767.1726895431806,114.82731045681942,0.5980589086292678,0.34375,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rbuyzj3kv10xrq1rfy2l"
JaMycal Hasty,00-0035806,2022,REG,46,194.0,2,0.0,0.0,7.0,-7.001697056461126,0,20,26,126.0,1,0.0,0.0,-34.0,134.0,7.0,5.571410241699993,0,-19.428216374269006,0.06072772256547689,-0.22006472552538586,50.0,70.0,14,27.0,4.0,68.0,205.0,5.585979437229438,42.5,2.728041666666667,2.8166666666666664,40.32139469420798,-9.821394694207978,-0.8793132864444224,0.30833333333333335,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/stvclosmy6zi864kfxw7"
