player_name,player_id,season,season_type,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,ngs_avg_cushion,ngs_avg_separation,ngs_avg_intended_air_yards,ngs_percent_share_of_intended_air_yards,ngs_catch_percentage,ngs_avg_yac,ngs_avg_expected_yac,ngs_avg_yac_above_expectation,headshot_url
Braxton Berrios,00-0034419,2023,REG,27,33,238.0,1,0.0,0.0,229.0,85.0,15.0,10.86630826399778,0,25.963810538196046,0.07678248998852838,0.901529883112134,2.128329472954797,30.900000000000002,57.9,13,28.0,6.0,69.0,190.0,5.028125,3.319418174877497,10.312083333333334,14.565012270747298,65.0,3.634916666666667,3.554173015474895,0.08074365119177125,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yvzkjvb0ieeszxribqc9"
Braylon Sanders,00-0037355,2022,REG,2,3,17.0,0,1.0,1.0,42.0,3.0,0.0,-5.948913088068366,0,1.2142857142857142,0.04607843137254902,0.14898570003325573,0.24252528414092606,-0.2999999999999998,1.7000000000000002,2,25.0,2.0,73.0,185.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gmfwtnng8jnsnjrhexvx"
Brian Thomas Jr.,00-0039893,2024,REG,87,133,1282.0,10,0.0,0.0,1542.0,562.0,53.0,52.13699310326108,2,16.13727578494238,0.25452063575429756,6.28597125838977,10.890456092607426,197.0,284.0,17,21.0,0.0,74.0,205.0,6.18848,3.0124731069794297,11.382857142857144,34.996324498259334,65.41353383458647,6.790574712643678,5.558381658145239,1.2321930544984383,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gsz15iz0ppibhslzzgch"
Britain Covey,00-0037132,2024,REG,7,8,34.0,0,0.0,0.0,9.0,28.0,2.0,-0.0438859926071018,0,2.090909090909091,0.09783261963789347,0.06427044477891936,0.4852360997157642,3.4000000000000004,10.4,3,27.0,2.0,68.0,170.0,6.107833333333334,3.725380106014534,5.729666666666666,10.062008767585962,80.0,3.6833333333333336,3.3134538014274293,0.36987953190590495,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zxyoxfakwak4h9eiv5mu"
Bryce Ford-Wheaton,00-0038477,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,6.0,1,24.0,1.0,75.0,224.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/avfgonlaxpgblcdmfedn"
Bryce Oliver,00-0039650,2024,REG,6,9,95.0,0,0.0,0.0,95.0,26.0,4.0,4.337509178032633,0,5.662599206349206,0.06442558995969791,0.3785944484647764,0.7482080386230778,9.5,15.500000000000002,5,24.0,0.0,73.0,215.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/njv8cbvhuobk2fe6uslj"
Brycen Tremayne,00-0038840,2024,REG,1,1,-2.0,0,0.0,0.0,-2.0,0.0,0.0,-1.3914722021436319,0,0.0,0.037037037037037035,-0.006557377049180328,0.05096539162112932,-0.2,0.8,1,24.0,1.0,76.0,212.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qugjtd2g51vib69ekkel"
Bub Means,00-0039386,2024,REG,9,15,118.0,1,0.0,0.0,170.0,20.0,7.0,3.358492489263881,0,2.2984848484848484,0.10167847503373818,0.604512776474992,1.0332297937349235,17.8,26.8,4,23.0,0.0,74.0,215.0,4.037,2.98376689571472,10.849125,24.819252541350487,61.25,3.0986666666666673,1.8253581203525582,1.2733085463141098,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zo2ojijv5b6bhy2fcjyk"
Byron Pringle,00-0034297,2023,REG,14,22,161.0,0,0.0,0.0,297.0,31.0,7.0,1.0596630637301132,0,9.66780147662018,0.04629422184569243,1.0483060784067089,1.56711024810716,16.1,30.1,12,30.0,6.0,73.0,205.0,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qgwipkdsunodvqlumsmp"
Calvin Austin III,00-0037837,2024,REG,36,58,548.0,4,0.0,0.0,718.0,152.0,18.0,24.141195316675457,0,12.669319942127705,0.13108267570825072,3.3910769788649175,5.716362115765836,84.8,120.8,17,25.0,2.0,69.0,162.0,6.406923076923077,2.9589101827624065,12.606379310344824,20.66526103963642,62.06896551724138,4.716944444444445,3.678598499887814,1.0383459445566308,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qlt6ztqcbu0uzad6aavt"
