NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM SNAP %,Rec,Catch %,TD
"Isaiah Adams","G","ARI",1,"",6,"","","",23,20,26,17,"","","",15,71,70,70,79,65,462,30,42.2,,,
"Josh Myers","C","GB",1,65,70,63,76,59,68,58,70,"","",46,68,54,50,64,69,63,65,1008,63,93,,,
"Quinn Meinerz","OL","DEN",1,69,61,68,61,63,55,65,72,72,58,62,68,66,"",59,64,60,65,1088,64,98.7,,,
"Rasheed Walker","OT","GB",1,67,70,63,76,59,73,58,70,65,"",46,72,54,50,64,60,63,65,1075,63,99.2,,,
"Sean Rhyan","G","GB",1,42,50,63,76,59,40,45,48,65,"",46,72,54,42,64,69,63,65,963,56,88.8,,,
"Zach Tom","OL","GB",1,67,70,63,76,59,73,57,70,65,"",46,68,54,50,64,60,63,65,1070,62,98.7,,,
"Alijah Vera-Tucker","G","NYJ",1,51,57,73,74,72,63,26,"","",58,51,"",68,68,58,69,63,64,915,61,85.8,,,
"Cole Strange","G","NE",2,"","","","","","","","","","","","","","","","",53,64,117,39,48.5,,,
"Demontrey Jacobs","OT","NE",1,"","",14,64,60,66,60,67,48,64,76,50,72,"",51,73,38,64,867,57,79.3,,,
"John Simpson","OL","NYJ",1,51,57,73,74,72,63,57,62,12,58,50,"",68,68,58,69,63,64,1019,59,95.6,,,
"Joe Tippmann","C","NYJ",1,51,57,73,74,72,63,57,62,58,58,51,"",68,68,58,69,63,64,1066,62,100,,,
"Layden Robinson","G","NE",2,65,68,52,64,"","",19,"",21,"","","",72,"",51,73,53,64,602,50,55.1,,,
"Max Mitchell","OL","NYJ",2,"","","",3,"","","","",46,"",1,"","",35,"",12,63,64,224,22,21,,,
"Kevin Zeitler","G","DET",1,61,85,68,53,"",57,"",42,57,65,63,72,70,77,79,65,71,63,1048,65,91.4,,,
"Colton McKivitz","OT","SF",1,72,70,71,63,64,65,63,68,"",64,63,49,48,58,54,64,64,62,1062,62,98.4,,,
"Coleman Shelton","C","CHI",1,56,70,90,60,72,63,"",63,74,60,72,76,66,49,64,64,61,62,1122,66,98.8,,,
"Daniel Brunskill","G","TEN",1,"",5,3,11,"",5,14,7,77,54,59,67,55,64,70,61,69,62,683,40,62.4,,,
"Dillon Radunz","OT","TEN",1,49,66,54,65,"",58,73,75,"",54,59,67,55,64,70,31,"",62,902,60,82.4,,,
"Darnell Wright","OT","CHI",1,56,70,90,60,75,66,"",63,57,"",72,76,37,49,64,64,61,62,1022,63,90,,,
"Jake Curhan","OT","CHI",2,"","","","","","","","",17,"",65,"","",4,3,49,61,62,261,26,39.8,,,
"JC Latham","OT","TEN",1,64,66,54,65,"",58,73,76,77,54,59,67,55,64,70,61,69,62,1094,64,100,,,
"John Ojukwu","OT","TEN",2,"","","",5,"","","",29,30,21,"",1,2,10,13,35,56,62,264,24,27.4,,,
"Larry Borom","OT","CHI",1,"","","","","","","","",74,60,"","",30,"",3,40,61,62,330,41,50.3,,,
"Matt Pryor","G","CHI",1,"","",90,60,71,66,"",63,74,60,72,76,67,53,67,64,61,62,1006,59,88.6,,,
"Peter Skoronski","G","TEN",1,64,66,54,65,"",58,73,76,77,54,59,67,55,64,70,61,69,62,1094,64,100,,,
"Trey Pipkins III","OT","LAC",1,57,69,45,56,"",30,66,66,57,"",63,67,44,57,39,60,"",62,838,55,78.5,,,
"Broderick Jones","OT","PIT",1,68,11,68,70,58,67,68,66,"",77,78,69,69,65,43,60,75,61,1073,63,95,,,
"Dan Moore Jr.","OT","PIT",1,68,66,68,70,58,59,68,65,"",78,78,69,69,65,43,60,68,61,1113,65,98.6,,,
"Isaac Seumalo","G","PIT",1,"","","","",58,58,68,65,"",76,76,69,67,65,43,60,63,61,829,63,73.4,,,
"Tyrese Robinson","G","NE",3,"","","","","","","","","",1,"","","","","","","",61,62,31,11.9,,,
"Zach Frazier","C","PIT",1,68,66,68,70,58,48,"","","",78,78,69,69,65,43,60,75,61,976,65,86.4,,,
"Blake Fisher","OT","HOU",2,"","","",22,68,16,"","",6,2,"","","","",50,57,56,60,337,22,30.4,,,
"Cody Ford","G","CIN",1,"",5,"",14,26,1,37,29,74,82,82,"",62,71,"",56,90,60,689,43,60.6,,,
"Evan Brown","C","ARI",1,61,66,59,59,55,40,57,66,58,59,"",58,82,71,70,70,79,60,1070,62,97.6,,,
"Hjalte Froholdt","C","ARI",1,61,60,59,59,58,58,57,66,58,52,"",58,82,71,70,70,79,60,1078,63,98.4,,,
"Jarrett Patterson","OL","HOU",1,"",62,"","","","","",10,"",68,64,56,63,"",50,59,56,60,548,36,49.5,,,
"Kelvin Beachum","OT","ARI",1,39,66,"",59,58,58,57,66,58,59,"","",1,2,10,70,79,60,742,46,67.7,,,
"Ethan Pocic","C","CLE",1,76,72,67,21,52,"",84,69,79,"",70,58,86,72,62,66,79,59,1072,67,90.8,,,
"Germain Ifedi","G","CLE",2,2,11,"","","","","","","","",43,58,86,72,62,66,79,59,538,35,48.3,,,
"Joel Bitonio","G","CLE",1,76,72,67,59,62,57,84,69,79,"",70,58,86,72,62,66,79,59,1177,69,99.7,,,
"Jack Conklin","OT","CLE",1,"","","","","",57,57,69,79,"",73,58,86,72,62,66,79,59,817,68,69.2,,,
"Wyatt Teller","G","CLE",1,76,72,33,"","","","",69,79,"",73,58,86,72,62,66,79,59,884,68,96.3,,,
