NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Avg,TM SNAP %,DEPTH_ranking,Avg_ranking,TM SNAP %_ranking,depth_score,TM_SNAP,avg_norm,rating,games,max_team_rating,team_relative_rating,final_rating,height,weight,headshot_url
Greg Van Roten,G,NYG,1.0,71.0,56.0,72.0,69.0,72.0,79.0,58.0,72.0,65.0,75.0,,59.0,63.0,78.0,68.0,59.0,56.0,53.0,66,100.0,1.0,18.0,1.0,1.0,1.0,0.9295774647887324,0.9244913928012518,17,0.9244913928012518,1.0,0.75,76.0,305.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ofdjacvucdeuucgmsucb"
Aaron Brewer,OL,MIA,1.0,71.0,76.0,61.0,60.0,78.0,,69.0,65.0,61.0,53.0,68.0,68.0,71.0,72.0,68.0,67.0,60.0,70.0,66,100.0,1.0,18.0,1.0,1.0,1.0,0.9295774647887324,0.9244913928012518,17,0.9244913928012518,1.0,0.75,77.0,232.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jyuyqxrvpdiyvdzbnnzb"
Aaron Brewer,OL,MIA,1.0,71.0,76.0,61.0,60.0,78.0,,69.0,65.0,61.0,53.0,68.0,68.0,71.0,72.0,68.0,67.0,60.0,70.0,66,100.0,1.0,18.0,1.0,1.0,1.0,0.9295774647887324,0.9244913928012518,17,0.9244913928012518,1.0,0.75,73.0,270.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kebpn1b4ls7vavlwxrrf"
Laken Tomlinson,G,SEA,1.0,67.0,70.0,64.0,90.0,58.0,78.0,60.0,51.0,80.0,,60.0,64.0,64.0,64.0,56.0,64.0,52.0,55.0,64,99.7,1.0,49.0,17.0,1.0,0.997,0.9014084507042254,0.915660172143975,17,0.915660172143975,1.0,0.75,75.0,312.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qcc6uev4fey0zfe8urls"
Cody Mauch,G,TB,1.0,64.0,48.0,57.0,77.0,53.0,77.0,82.0,73.0,55.0,61.0,,65.0,80.0,62.0,69.0,72.0,71.0,67.0,66,99.2,1.0,18.0,25.0,1.0,0.992,0.9295774647887324,0.9222247261345853,17,0.9222247261345853,1.0,0.75,78.0,301.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/butykrxo9yrqf7c4wkyk"
Blake Brandel,G,MIN,1.0,55.0,54.0,63.0,68.0,73.0,,60.0,50.0,73.0,84.0,73.0,71.0,53.0,60.0,77.0,66.0,72.0,65.0,65,100.0,1.0,33.0,1.0,1.0,1.0,0.9154929577464789,0.9205007824726134,17,0.9205007824726134,1.0,0.75,79.0,307.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rldbcwanwnioziutwiid"
Garrett Bradbury,C,MIN,1.0,55.0,54.0,63.0,68.0,73.0,,60.0,50.0,73.0,84.0,73.0,71.0,53.0,60.0,77.0,66.0,72.0,65.0,65,100.0,1.0,33.0,1.0,1.0,1.0,0.9154929577464789,0.9205007824726134,17,0.9205007824726134,1.0,0.75,75.0,305.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hmbztztyfblbcrdlbsez"
Daniel Faalele,G,BAL,1.0,80.0,65.0,63.0,57.0,78.0,68.0,59.0,68.0,57.0,63.0,61.0,65.0,72.0,,59.0,62.0,60.0,70.0,65,99.7,1.0,33.0,17.0,1.0,0.997,0.9154929577464789,0.9196507824726134,17,0.9196507824726134,1.0,0.75,80.0,380.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gfcuhqhwrcilnwcw1hgt"
Dan Moore Jr.,OT,PIT,1.0,68.0,66.0,68.0,70.0,58.0,59.0,68.0,65.0,,78.0,78.0,69.0,69.0,65.0,43.0,60.0,68.0,61.0,65,98.6,1.0,33.0,37.0,1.0,0.986,0.9154929577464789,0.9165341158059467,17,0.9165341158059467,1.0,0.75,77.0,315.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sgxvvnhnfkxz5xln2bq9"
Peter Skoronski,G,TEN,1.0,64.0,66.0,54.0,65.0,,58.0,73.0,76.0,77.0,54.0,59.0,67.0,55.0,64.0,70.0,61.0,69.0,62.0,64,100.0,1.0,49.0,1.0,1.0,1.0,0.9014084507042254,0.9165101721439749,17,0.9165101721439749,1.0,0.75,76.0,294.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rkfunqouas13nm7xbqix"
JC Latham,OT,TEN,1.0,64.0,66.0,54.0,65.0,,58.0,73.0,76.0,77.0,54.0,59.0,67.0,55.0,64.0,70.0,61.0,69.0,62.0,64,100.0,1.0,49.0,1.0,1.0,1.0,0.9014084507042254,0.9165101721439749,17,0.9165101721439749,1.0,0.75,78.0,360.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ygh6osnntxlezmtzwqe0"
Charles Cross,OT,SEA,1.0,67.0,70.0,64.0,90.0,58.0,78.0,60.0,51.0,80.0,,60.0,64.0,64.0,64.0,56.0,64.0,52.0,55.0,64,99.7,1.0,49.0,17.0,1.0,0.997,0.9014084507042254,0.915660172143975,17,0.915660172143975,1.0,0.75,77.0,310.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tdirmu91j2dpbzbjt8vb"
Laremy Tunsil,OT,HOU,1.0,79.0,62.0,67.0,55.0,68.0,50.0,64.0,71.0,73.0,66.0,64.0,56.0,63.0,,50.0,59.0,50.0,31.0,60,92.9,1.0,105.0,75.0,1.0,0.929,0.8450704225352113,0.8804310641627544,17,0.8804310641627544,1.0,0.75,77.0,313.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tgjchtajh4fk5cot590c"
